lat,lon,satelite,data
-3.421500,-79.599300,GOES-19,2025-08-29 00:20:00
-6.535800,-43.923700,GOES-19,2025-08-29 00:20:00
-3.425400,-49.051700,GOES-19,2025-08-29 00:20:00
-3.425500,-49.030300,GOES-19,2025-08-29 00:20:00
-5.608100,-45.003800,GOES-19,2025-08-29 00:20:00
-6.554600,-43.922100,GOES-19,2025-08-29 00:20:00
-7.056900,-44.362300,GOES-19,2025-08-29 00:20:00
-8.175700,-61.394600,GOES-19,2025-08-29 00:20:00
-15.989500,-61.648800,GOES-19,2025-08-29 00:20:00
-15.989700,-61.629000,GOES-19,2025-08-29 00:20:00
-16.107000,-61.540600,GOES-19,2025-08-29 00:20:00
-16.107200,-61.520800,GOES-19,2025-08-29 00:20:00
-17.643800,-61.824500,GOES-19,2025-08-29 00:20:00
-17.644100,-61.804600,GOES-19,2025-08-29 00:20:00
-17.663500,-61.822700,GOES-19,2025-08-29 00:20:00
-17.663700,-61.802800,GOES-19,2025-08-29 00:20:00
-18.225400,-62.508600,GOES-19,2025-08-29 00:20:00
-18.245200,-62.506900,GOES-19,2025-08-29 00:20:00
-22.469200,-60.036500,GOES-19,2025-08-29 00:20:00
-24.139000,-64.832200,GOES-19,2025-08-29 00:20:00
-24.139300,-64.811600,GOES-19,2025-08-29 00:20:00
-28.528000,-60.355100,GOES-19,2025-08-29 00:20:00
-28.872000,-60.938000,GOES-19,2025-08-29 00:20:00
-28.872500,-60.915800,GOES-19,2025-08-29 00:20:00
-9.217800,-60.868900,GOES-19,2025-08-29 00:20:00
-13.203600,-45.260100,GOES-19,2025-08-29 00:20:00
-9.426000,-47.660500,GOES-19,2025-08-29 00:20:00
-9.426300,-47.638400,GOES-19,2025-08-29 00:20:00
-9.444900,-47.658500,GOES-19,2025-08-29 00:20:00
-9.445200,-47.636400,GOES-19,2025-08-29 00:20:00
-9.443200,-60.569200,GOES-19,2025-08-29 00:20:00
-9.443300,-60.549900,GOES-19,2025-08-29 00:20:00
-9.461800,-60.568200,GOES-19,2025-08-29 00:20:00
-9.462000,-60.549000,GOES-19,2025-08-29 00:20:00
-10.362400,-57.825800,GOES-19,2025-08-29 00:20:00
-10.381000,-57.844300,GOES-19,2025-08-29 00:20:00
-11.332500,-43.568900,GOES-19,2025-08-29 00:20:00
-11.351700,-43.566000,GOES-19,2025-08-29 00:20:00
-12.078400,-44.719900,GOES-19,2025-08-29 00:20:00
-12.097600,-44.717000,GOES-19,2025-08-29 00:20:00
-13.183700,-45.286500,GOES-19,2025-08-29 00:20:00
-13.184200,-45.263300,GOES-19,2025-08-29 00:20:00
-13.202700,-45.306600,GOES-19,2025-08-29 00:20:00
-13.203100,-45.283400,GOES-19,2025-08-29 00:20:00
-24.164800,-49.556900,GOES-19,2025-08-29 00:20:00
-24.186100,-49.551500,GOES-19,2025-08-29 00:20:00
-10.455100,-57.937800,GOES-19,2025-08-29 00:20:00
-12.415600,-63.918300,GOES-19,2025-08-29 00:20:00
-12.434400,-63.936400,GOES-19,2025-08-29 00:20:00
-12.434500,-63.917300,GOES-19,2025-08-29 00:20:00
-10.381200,-57.824500,GOES-19,2025-08-29 00:20:00
-13.538600,-46.877500,GOES-19,2025-08-29 00:20:00
-13.539100,-46.854800,GOES-19,2025-08-29 00:20:00
-13.558000,-46.874500,GOES-19,2025-08-29 00:20:00
-13.558400,-46.851700,GOES-19,2025-08-29 00:20:00
-17.343500,-42.658100,GOES-19,2025-08-29 00:20:00
-17.344200,-42.633300,GOES-19,2025-08-29 00:20:00
-17.363600,-42.653200,GOES-19,2025-08-29 00:20:00
-5.693300,-45.966700,GOES-19,2025-08-29 00:20:00
-23.733300,-61.250700,GOES-19,2025-08-29 00:20:00
-24.118100,-64.834200,GOES-19,2025-08-29 00:20:00
-24.118300,-64.813600,GOES-19,2025-08-29 00:20:00
-28.873000,-60.893700,GOES-19,2025-08-29 00:20:00
-28.894900,-60.912200,GOES-19,2025-08-29 00:20:00
-28.895400,-60.890100,GOES-19,2025-08-29 00:20:00
-8.175800,-61.375500,GOES-19,2025-08-29 00:20:00
-8.176000,-61.356400,GOES-19,2025-08-29 00:20:00
-8.194400,-61.374700,GOES-19,2025-08-29 00:20:00
-8.286700,-61.409000,GOES-19,2025-08-29 00:20:00
-17.364300,-42.628400,GOES-19,2025-08-29 00:20:00
-12.453400,-63.916400,GOES-19,2025-08-29 00:20:00
-12.996100,-56.920100,GOES-19,2025-08-29 00:20:00
-13.015100,-56.918400,GOES-19,2025-08-29 00:20:00
-13.034200,-56.916600,GOES-19,2025-08-29 00:20:00
