lat,lon,satelite,data
-12.736600,-66.804200,GOES-19,2025-10-12 01:40:00
-12.755500,-66.803500,GOES-19,2025-10-12 01:40:00
-12.755600,-66.784600,GOES-19,2025-10-12 01:40:00
-13.214300,-65.971400,GOES-19,2025-10-12 01:40:00
-13.214400,-65.952400,GOES-19,2025-10-12 01:40:00
-13.233200,-65.970500,GOES-19,2025-10-12 01:40:00
-13.233400,-65.951600,GOES-19,2025-10-12 01:40:00
-13.289900,-66.005900,GOES-19,2025-10-12 01:40:00
-13.625600,-64.178500,GOES-19,2025-10-12 01:40:00
-13.877200,-61.574300,GOES-19,2025-10-12 01:40:00
-14.036900,-62.825400,GOES-19,2025-10-12 01:40:00
-14.056000,-62.824100,GOES-19,2025-10-12 01:40:00
-14.212500,-64.605900,GOES-19,2025-10-12 01:40:00
-14.309600,-62.264100,GOES-19,2025-10-12 01:40:00
-14.482400,-62.193700,GOES-19,2025-10-12 01:40:00
-14.482600,-62.174300,GOES-19,2025-10-12 01:40:00
-14.501600,-62.192400,GOES-19,2025-10-12 01:40:00
-15.216100,-63.697400,GOES-19,2025-10-12 01:40:00
-15.235200,-63.715600,GOES-19,2025-10-12 01:40:00
-15.235400,-63.696200,GOES-19,2025-10-12 01:40:00
-15.798700,-65.362100,GOES-19,2025-10-12 01:40:00
-15.798800,-65.342800,GOES-19,2025-10-12 01:40:00
-15.818100,-65.341700,GOES-19,2025-10-12 01:40:00
-16.073100,-62.859200,GOES-19,2025-10-12 01:40:00
-16.073300,-62.839600,GOES-19,2025-10-12 01:40:00
-16.092500,-62.857800,GOES-19,2025-10-12 01:40:00
-17.429500,-60.207000,GOES-19,2025-10-12 01:40:00
-17.748100,-61.337000,GOES-19,2025-10-12 01:40:00
-17.748400,-61.317000,GOES-19,2025-10-12 01:40:00
-17.767800,-61.335200,GOES-19,2025-10-12 01:40:00
-17.768100,-61.315200,GOES-19,2025-10-12 01:40:00
-20.048800,-58.896400,GOES-19,2025-10-12 01:40:00
-20.548900,-60.316100,GOES-19,2025-10-12 01:40:00
-20.549200,-60.295600,GOES-19,2025-10-12 01:40:00
-20.569100,-60.313700,GOES-19,2025-10-12 01:40:00
-28.172100,-62.616100,GOES-19,2025-10-12 01:40:00
-10.997500,-69.547700,GOES-19,2025-10-12 01:40:00
-10.997600,-69.529200,GOES-19,2025-10-12 01:40:00
-11.152000,-68.168800,GOES-19,2025-10-12 01:40:00
-11.170700,-68.168200,GOES-19,2025-10-12 01:40:00
-11.170800,-68.149600,GOES-19,2025-10-12 01:40:00
-12.768500,-45.836300,GOES-19,2025-10-12 01:40:00
-13.322000,-47.114400,GOES-19,2025-10-12 01:40:00
-14.035100,-43.490600,GOES-19,2025-10-12 01:40:00
-15.682500,-46.625000,GOES-19,2025-10-12 01:40:00
-17.589700,-42.424600,GOES-19,2025-10-12 01:40:00
-19.031900,-57.538200,GOES-19,2025-10-12 01:40:00
-2.523800,-47.811500,GOES-19,2025-10-12 01:40:00
-2.542300,-47.811000,GOES-19,2025-10-12 01:40:00
-2.542400,-47.789300,GOES-19,2025-10-12 01:40:00
-4.271000,-46.936900,GOES-19,2025-10-12 01:40:00
-5.822400,-44.027300,GOES-19,2025-10-12 01:40:00
-7.521200,-46.538000,GOES-19,2025-10-12 01:40:00
-9.016000,-67.446000,GOES-19,2025-10-12 01:40:00
-9.016100,-67.427500,GOES-19,2025-10-12 01:40:00
-9.034500,-67.445500,GOES-19,2025-10-12 01:40:00
